position,avg_loss,perplexity,std_loss,count
4,0.6809808575755552,1.9758147749835553,0.915312291593314,57042
5,0.7280366171278031,2.0710104269196794,0.7985384727536952,57042
6,0.590134856564298,1.8042317114822592,0.7589019686297743,57042
7,0.6058898995246792,1.8328825646748566,0.8184216708542481,57042
8,0.5326528478135315,1.7034453009730377,0.6140266365630029,57042
9,0.40188660616831695,1.4946418399012864,0.7500633732664412,57042
10,0.528055494405498,1.69563193507709,0.4279400622817926,57042
11,0.0262075972206659,1.0265540361192371,0.33676394843055,57042
12,0.8206356453481087,2.271943528981282,1.4783195638370645,10755
13,0.0675685462190378,1.0699035949306108,0.4031500582660595,8908
14,0.038942910589149615,1.0397111254602047,0.35073921494666893,8886
15,0.45826580874956635,1.5813292783606532,0.7122557664920013,8828
16,0.42957229320383367,1.5366001686456026,0.7243558189088265,8822
17,0.40614945557555354,1.5010268725298148,0.6915267645089634,8822
18,0.6506778015928693,1.916839625752533,1.3177283384713663,778
19,0.6093812666617888,1.8392930147329194,1.1638428142695687,484
20,0.8565046212755911,2.3549149714510174,1.328026825161498,143
21,0.2878794006095362,1.3335964635043158,0.9962087219585467,108
22,0.3055270945427418,1.3573402611296226,0.8777972007141793,105
23,0.803706708944228,2.233805668988703,0.702912356870006,100
24,0.7616509119793773,2.1418092418756727,0.9862137937927024,100
25,0.8481256090084551,2.335265546365933,0.8781992267408314,93
26,0.48372885599282794,1.6221117601360715,0.5952840013731682,58
27,0.3869480387307703,1.4724799773567336,0.38260613983818204,40
28,1.7266407462839897,5.621737311438896,3.468337711273899,13
29,0.7397694559767842,2.095452364784231,2.0529947157423294,10
30,0.6688975285738706,1.9520840170260152,1.8887108413368954,10
31,0.904891230724752,2.471663067435619,2.5913117951080094,10
32,0.36333877556025984,1.4381229776421194,0.9813414875586801,10
33,1.103682704269886,3.015249875737542,3.1676793967773875,10
34,1.470734329894185,4.352430087372386,2.9952724748188535,10
35,0.5425554353743791,1.7203976145757607,1.5250934026861964,10
36,1.3034692849963903,3.6820486107679096,2.719317462128584,10
37,1.5129228040575982,4.539980895739906,3.0965251956628546,10
38,1.2926591020077467,3.6424593605647173,2.612139635509321,10
39,0.8915750582702457,2.4389681445179643,1.727629986223868,10
40,1.5759280502796174,4.835226870167517,3.0586730856706725,10
41,1.0783044187352062,2.939690838167189,2.1164001523698617,10
